B_size,seed,scrambler_layers,emission_time,petz_entanglement_fidelity,noise_model,noise_depth,synthesis_method,claim,geometry,architecture_diameter,causal_line_lower_bound,logical_cnot_count,logical_two_qubit_depth,mean_logical_interaction_distance,routing_swap_count,routed_cnot_count,routed_two_qubit_depth,final_entanglement_fidelity,status
4,4005,9,1,0.49999999999999767,ideal,0,signed_symplectic_Clifford,observed construction; not minimal,not_compiled,,,,,,,,,,Petz-only baseline; no circuit compiled
4,4005,9,2,0.9999999999999967,ideal,0,signed_symplectic_Clifford,observed construction; not minimal,all_to_all_logical,1,0,31,22,1.3870967741935485,0,31,22,0.9999999999999928,validated
4,4005,9,2,0.9999999999999967,ideal,0,signed_symplectic_Clifford,observed construction; not minimal,line_E0-E1-E2-E3-D0-D1,5,5,31,22,1.3870967741935485,22,97,85,0.9999999999999928,validated
4,4006,9,1,0.49999999999999817,ideal,0,signed_symplectic_Clifford,observed construction; not minimal,not_compiled,,,,,,,,,,Petz-only baseline; no circuit compiled
4,4006,9,2,0.9999999999999964,ideal,0,signed_symplectic_Clifford,observed construction; not minimal,all_to_all_logical,1,0,29,23,1.4137931034482758,0,29,23,0.9999999999999929,validated
4,4006,9,2,0.9999999999999964,ideal,0,signed_symplectic_Clifford,observed construction; not minimal,line_E0-E1-E2-E3-D0-D1,5,5,29,23,1.4137931034482758,34,131,92,0.9999999999999929,validated
4,4007,9,1,0.4999999999999975,ideal,0,signed_symplectic_Clifford,observed construction; not minimal,not_compiled,,,,,,,,,,Petz-only baseline; no circuit compiled
4,4007,9,2,0.9999999999999952,ideal,0,signed_symplectic_Clifford,observed construction; not minimal,all_to_all_logical,1,0,25,19,1.4,0,25,19,0.9999999999999909,validated
4,4007,9,2,0.9999999999999952,ideal,0,signed_symplectic_Clifford,observed construction; not minimal,line_E0-E1-E2-E3-D0-D1,5,5,25,19,1.4,12,61,46,0.9999999999999909,validated
4,4008,9,1,0.49999999999999767,ideal,0,signed_symplectic_Clifford,observed construction; not minimal,not_compiled,,,,,,,,,,Petz-only baseline; no circuit compiled
4,4008,9,2,0.9999999999999953,ideal,0,signed_symplectic_Clifford,observed construction; not minimal,all_to_all_logical,1,0,28,18,1.2857142857142858,0,28,18,0.9999999999999913,validated
